f,Z,Phi,L,QL,C,QC
0.2,8.46,-86.91,-6723,18.7,94000,19
0.4,4.291,-85.11,-1701,11.7,93000,12
0.6,2.891,-83.46,-762,8.7,92000,9
0.8,2.189,-81.87,-431,7,91800,7
1,1.767,-80.3,-277.1,5.8,91400,6
1.2,1.485,-78.77,-193.2,5,91100,5
1.4,1.285,-77.25,-142.4,4.4,90700,4
1.6,1.135,-75.76,-109.3,3.9,90500,4
1.8,1.018,-74.3,-86.7,4,90200,4
2,0.926,-72.9,-70.4,3,90000,3
2.2,0.85,-71.5,-58.3,3,90000,0
2.4,0.787,-70.1,-49.1,3,90000,0
2.6,0.735,-68.7,-41.9,3,90000,0
2.8,0.69,-67.4,-36.2,2,90000,0
3,0.652,-66.1,-31.6,2,90000,0
3.2,0.618,-64.8,-27.8,2,90000,0
3.4,0.589,-63.6,-24.7,2,90000,0
3.6,0.563,-62.4,-22.1,2,90000,0
3.8,0.54,-61.2,-19.8,2,90000,0
4,0.52,-60,-17.9,2,90000,0
4.2,0.502,-58.9,-16.3,2,90000,0
4.4,0.485,-57.8,-14.9,2,90000,0
4.6,0.471,-56.8,-13.6,2,90000,0
4.8,0.457,-55.7,-12.5,2,90000,0
5,0.445,-54.7,-11.6,1,90000,0
5.2,0.434,-53.7,-10.7,1,90000,0
5.4,0.423,-52.8,-9.9,1,90000,0
5.6,0.414,-51.9,-9.3,1,90000,0
5.8,0.405,-51,-8.6,1,90000,0
6,0.397,-50,-8.1,1,90000,0
6.2,0.39,-49.2,-7.6,1,90000,0
6.4,0.383,-48.4,-7.1,1,90000,0
6.6,0.376,-47.6,-6.7,1,90000,0
6.8,0.371,-46.8,-6.3,1,90000,0
7,0.365,-46.1,-5.97,1,87000,0
7.2,0.36,-45.3,-5.65,1,86000,0
7.4,0.355,-44.5,-5.36,1,86000,0
7.6,0.35,-43.9,-5.09,1,86000,0
7.8,0.346,-43.2,-4.83,1,86000,0
8,0.342,-42.5,-4.6,1,86000,0
8.2,0.338,-41.9,-4.38,1,86000,0
8.4,0.335,-41.3,-4.18,1,86000,0
8.6,0.332,-40.6,-3.99,1,86000,0
8.8,0.328,-40,-3.82,1,86000,0
9,0.325,-39.5,-3.65,1,86000,0
9.2,0.323,-38.9,-3.5,1,85000,0
9.4,0.32,-38.3,-3.36,1,85000,0
9.6,0.318,-37.8,-3.22,1,85000,0
9.8,0.315,-37.3,-3.09,1,85000,0
10,0.313,-36.7,-2.98,1,85000,0
10.2,0.311,-36.2,-2.86,1,85000,0
10.4,0.309,-35.7,-2.76,1,85000,0
10.6,0.307,-35.3,-2.66,1,85000,0
10.8,0.305,-34.8,-2.56,1,85000,0
11,0.303,-34.4,-2.47,1,85000,0
11.2,0.301,-33.9,-2.39,1,85000,0
11.4,0.3,-33.5,-2.31,1,85000,0
11.6,0.298,-33.1,-2.23,1,84000,0
11.8,0.297,-32.6,-2.16,1,84000,0
12,0.296,-32.3,-2.09,1,84000,0
12.2,0.294,-31.8,-2.02,1,84000,0
12.4,0.293,-31.5,-1.96,1,84000,0
12.6,0.291,-31.1,-1.9,1,84000,0
12.8,0.29,-30.7,-1.84,1,84000,0
13,0.289,-30.3,-1.79,1,84000,0
13.2,0.288,-30,-1.74,1,84000,0
13.4,0.287,-29.7,-1.69,1,84000,0
13.6,0.286,-29.3,-1.64,1,84000,0
