f,Z,Phi,L,QL,C,QC
0.5,33.38,-85.42,-10590,12.6,9570,12.6
1,17.07,-83.26,-2699,8.5,9386,8.5
1.5,11.57,-81.18,-1213,6.4,9285,6.4
2,8.802,-79.17,-687.9,5.2,9200,5
2.5,7.14,-77.19,-443.2,4.4,9100,4
3,6.034,-75.24,-309.5,3.8,9100,4
3.5,5.248,-73.34,-228.6,3.3,9100,3
4,4.66,-71.49,-175.8,3,9000,3
4.5,4.206,-69.7,-139.5,2.7,9000,3
5,3.846,-67.96,-113.5,2.5,8900,3
5.5,3.553,-66.27,-94.1,2.3,8900,2
6,3.312,-64.64,-79.4,2.1,8900,2
6.5,3.11,-63.06,-67.9,2,8800,2
7,2.938,-61.54,-58.74,1.8,8800,2
7.5,2.791,-60.08,-51.35,1.7,8770,2
8,2.664,-58.67,-45.27,1.6,8740,2
8.5,2.552,-57.3,-40.23,1.6,8720,2
9,2.455,-55.99,-36,1.5,8690,2
9.5,2.368,-54.74,-32.41,1.4,8660,1
10,2.292,-53.52,-29.34,1.4,8630,1
10.5,2.223,-52.35,-26.69,1.3,8610,1
11,2.162,-51.24,-24.4,1.2,8580,1
11.5,2.106,-50.16,-22.39,1.2,8550,1
12,2.056,-49.12,-20.62,1.2,8530,1
12.5,2.01,-48.1,-19.06,1.1,8510,1
13,1.969,-47.15,-17.68,1.1,8480,1
13.5,1.931,-46.21,-16.44,1,8460,1
14,1.897,-45.32,-15.33,1,8430,1
14.5,1.864,-44.45,-14.33,1,8410,1
15,1.835,-43.62,-13.43,1,8380,1
15.5,1.808,-42.81,-12.61,0.9,8360,1
16,1.783,-42.04,-11.87,0.9,8330,1
16.5,1.759,-41.29,-11.2,0.9,8310,1
17,1.737,-40.58,-10.57,0.9,8290,1
17.5,1.717,-39.88,-10,0.8,8270,1
18,1.698,-39.21,-9.48,0.8,8250,1
18.5,1.68,-38.56,-9,0.8,8220,1
19,1.663,-37.93,-8.56,0.8,8200,1
19.5,1.647,-37.32,-8.15,0.8,8180,1
20,1.633,-36.72,-7.77,0.7,8160,1
